ID	TOPIC	ENG	EST	CES	SLV
85	Weather	In addition to the crushing ice, extreme weather conditions have been hampering rescue efforts.	Purustavale jääle lisaks on päästetegevust takistanud äärmuslikud ilmastikuolud.	Kromě drtivého ledu se snahy o záchranu potýkaly i s extrémními klimatickými podmínkami.	Reševanje poleg lomljenja ledu ovirajo tudi ekstremne vremenske razmere.
86	Weather	Pittman suggested that conditions wouldn't improve until sometime next week.	Pittman pakkus, et tingimused ei parane enne järgmist nädalat.	Pittman naznačil, že se podmínky nezlepší až do příštího týdne.	Pittman je namignil, da se razmere ne bodo izboljšale do prihodnjega tedna.
87	Weather	The amount and thickness of the pack ice, according to Pittman, is the worst it has been for sealers in the past 15 years.	Paakjää kogus ja paksus on Pittmani kohaselt hülgeküttide jaoks 15. aasta kõige hullem.	Množství a tloušťka pole ledových ker byly podle Pittmana pro lovce tuleňů nejhorší za posledních 15 let.	Količina in debelina ledenih plošč je po Pittmanovem mnenju najhujša za lovce na tjulnje v zadnjih 15 letih.
201	Weather	Felicia, once a Category 4 storm on the Saffir-Simpson Hurricane Scale, weakened to a tropical depression before dissipating Tuesday.	Felicia, mis oli kord  4. kategooria torm Saffir-Simpsoni orkaaniskaala järgi, nõrgenes troopiliseks depressiooniks enne teisipäeval toimunud hajumist.	Felicia, dříve bouře kategorie 4 na Saffirově-Simpsonově hurikánové stupnici, zeslábla na tropickou tlakovou níži a v úterý se pak rozptýlila.	Felicia, ki je bila nekdaj po Saffir-Simpsonovi lestvici orkanov uvrščena med nevihte 4. kategorije, je oslabila v tropsko depresijo, nato pa se je v torek razpršila.
202	Weather	Its remnants produced showers across most of the islands, though as of yet, no damage or flooding has been reported.	Selle jäänused tõid enamikule saartele hoovihma, kuid seni pole kahjudest ega üleujutustest teatatud.	Zbytky vyvolaly lijáky na celém území ostrovů, ale zatím bez zpráv o ničivých povodních.	Za seboj je pustil nalive po skoraj vseh otokih, čeprav zaenkrat še ne poročajo o materialni škodi ali poplavah.
203	Weather	The precipitation, reaching 6.34 inches at a gauge on Oahu, was described as "beneficial".	Sademeid, mis O'ahus ulatusid sadememõõturil 16,1 sentimeetrini, nimetati kasulikuks.	Srážky, dosahující 16,1 cm naměřených na Oahu, byly popsány jako „přínosné“.	Padavine, ki so na merilniku na Oahuju dosegle 6,34 palcev, so opisali kot "dobrodejne".
204	Weather	Some of the rainfall was accompanied by thunderstorms and frequent lightning.	Kohati esines vihmasaju kõrval ka äikesetorme ja sagedast äikest.	Některé z dešťů byly doprovázeny bouřemi a častými blesky.	Nekatere padavine so spremljale nevihte in pogosto bliskanje.
903	Weather	A tornado is a spinning column of very low-pressure air, which sucks the surrounding air inward and upward.	Tornaado on väga madala rõhuga pöörleva õhu sammas, mis imeb ümbritsevat õhku sisse ja ülespoole.	Tornádo je rotující sloupec vzduchu s velmi nízkým tlakem, který nasává dovnitř a směrem nahoru okolní vzduch.	Tornado je vrtinčast stolp zraka izjemno nizkega zračnega tlaka, ki okoliški zrak vleče vase in navzgor.
904	Weather	They generate high winds (often 100-200 miles/hour) and can lift heavy objects into the air, carrying them as the tornado moves.	Tornaado tekitab tugevat tuult (sageli 100-200 miili/tunnis) ja suudab tõsta õhku raskeid esemeid, kandes neid mööda oma liikumisteekonda.	Způsobují velmi silný vítr (často 100–200 mil za hodinu) a mohou zvednout do vzduchu i těžké předměty, které se pak společně s tornádem přemístí.	Ustvarjajo močne vetrove (pogosto 100–200 milj/uro) in lahko dvignejo težke predmete ter jih prenašajo v smeri pomikanja tornada.
905	Weather	They begin as funnels descending from storm clouds, and become "tornadoes" when they touch the ground.	Nad saavad alguse tormipilvedest tekkivate lehtritena ja muutuvad tornaadodeks, kui  maad puutuvad.	Začínají jako trychtýře, které se spouštějí z bouřkových mraků, a „tornády“ se stávají při styku se zemí.	V začetku so videti kot lijaki, ki se spuščajo iz nevihtnih oblakov, ob stiku s tlemi pa se razvijejo v "tornade".
