ID	TOPIC	ENG	EST	CES	SLV
61	Economy and business	Apple CEO Steve Jobs unveiled the device by walking onto the stage and taking the iPhone out of his jeans pocket.	Apple'i tegevdirektor Steve Jobs avalikustas seadme, kõndides lavale ja võttes iPhone'i teksade taskust välja.	Výkonný ředitel společnosti Apple, Steve Jobs, představil zařízení tak, že šel na pódium a vytáhl iPhone z kapsy svých džín.	Direktor Appla Steve Jobs je napravo predstavil tako, da je stopil na oder in vzel iPhone iz žepa svojih kavbojk.
62	Economy and business	During his 2 hour speech he stated that "Today Apple is going to reinvent the phone, We are going to make history today".	Oma kahetunnise kõne ajal ütles ta: „Täna leiutab Apple telefoni uuesti. Me teeme täna ajalugu.”	Během své dvouhodinové řeči prohlásil, že „Apple dnes znovu vynalezne telefon, dnes se zapíšeme do historie“.	V dvournem govoru je izjavil: "danes bo Apple ponovno izumil telefon, danes pišemo zgodovino".
146	business	Until now, AOL has been able to move and develop the IM market at its own pace, due to its widespread use within the United States.	Senini on AOL olnud suuteline liigutama ja arendama IM-i turgu oma tempos tänu selle laialdasele kasutamisele Ühendriikides.	Až doposud se mohlo AOL pohybovat na trhu IM a vyvíjet ho vlastním tempem, a to díky jeho rozšířeném používání ve Spojených státech.	Do sedaj je lahko AOL premikal in razvijal trg IM v lastnem tempu, saj je znotraj Združenih držav močno razširjen.
147	business	With this arrangement in place, this freedom might end.	Selle korraldusega võib see vabadus otsa saada.	Se vstupem této dohody v platnost může tato svoboda skončit.	Tak dogovor bi lahko pomenil konec takšne svobode.
148	business	The number of users of the Yahoo! and Microsoft services combined will rival the number of AOL's customers.	Yahoo! ja Microsofti teenuste kasutajate arv kokku konkureerivad AOL-i klientide arvuga.	Počet uživatelů služeb Yahoo! a Microsoft dohromady bude konkurovat počtu zákazníků AOL.	Skupno število vseh uporabnikov storitev Yahoo! in Microsoft bo konkurenčno številu strank AOL.
149	business	The Northern Rock bank had been nationalised in 2008 following the revelation that the company had received emergency support from the UK Government.	Pärast seda, kui tuli välja, et Northern Rocki pank oli saanud Ühendkuningriigi valitsuselt abiraha, oli ettevõte 2008. aastal riigistatud.	Banka Northern Rock byla znárodněna roku 2008 po odhalení toho, že společnost obdržela nouzovou podporu od britské vlády.	Banka Northern Rock je bila leta 2008 nacionalizirala, ko je prišlo na dan, da je družba od vlade Združenega kraljestva prejela nujno pomoč.
150	business	Northern Rock had required support due to its exposure during the subprime mortgage crisis in 2007.	Northern Rock vajas tuge kõrgema riskiastmega hüpoteeklaenude kriisi ajal 2007. aastal.	Northern Rock požádal o podporu kvůli tomu, že roku 2007 utrpěl v krizi rizikových hypoték.	Northern Rock je zaradi svoje izpostavljenosti v času drugorazredne hipotekarne krize leta 2007 zaprosil za podporo.
151	business	Sir Richard Branson's Virgin Group had a bid for the bank rejected prior to the bank’s nationalisation.	Enne panga riigistamist lükati tagasi Sir Richard Bransoni ettevõtte Virgin Group pakkumine pangale.	Nabídka společnosti Virgin Group Sira Richarda Bransona pro banku byla před znárodněním banky zamítnuta.	Ponudbo skupine Virgin sira Richarda Bransona za nakup banke so zavrnili pred njeno nacionalizacijo.
152	business	In 2010, while nationalised, the current high street bank Northern Rock plc was split from the ‘bad bank’, Northern Rock (Asset Management).	2010. aasta riigistamise ajal eraldati praegune kõrgklassi pank aktsiaselts Northern Rock nn pahast pangast Northern Rock (varahaldus).	V roce 2010 byla dnešní retailová banka Northern Rock po znárodnění oddělena od „nezdravé“ části Northern Rock pro investiční management.	Leta 2010 je bila med nacionalizacijo sedanja velika znana banka Northern Rock plc ločena od slabe banke Northern Rock (upravljanje s premoženjem).
153	business	Virgin have only purchased the ‘good bank’ of Northern Rock, not the asset management company.	"Virgin ostis ainult Northern Rocki ""hea panga"", mitte varahaldusettevõtte."	Společnost Virgin koupila pouze „dobrou banku“ Northern Rock, nikoliv společnost spravující aktiva.	Družba Virgin je kupila samo »dobro banko« Northern Rock ne pa tudi podjetja za upravljanje s premoženjem.
319	Economy and business	During the last three decades, despite officially remaining a communist state, China has developed a market economy.	Viimase kolme aastakümne jooksul on Hiina, kuigi see on ametlikult ikkagi kommunistlik riik, välja arendanud turumajanduse.	Během posledních třiceti let se Čína vyvinula v tržní ekonomiku, přestože stále zůstává komunistickým státem.	V zadnjih treh desetletjih je Kitajska razvila tržno gospodarstvo, kljub temu da je uradno ostala komunistična država.
320	Economy and business	The first economic reforms were made under the leadership of Deng Xiaoping.	Esimesed majandusreformid tehti Deng Xiaopingi juhtimisel.	První ekonomické reformy proběhly v době, kdy byl u moci Teng Siao-pching.	Prve gospodarske reforme so bile izvedene pod vodstvom Denga Šjaopinga.
321	Economy and business	Since then, China's economic size has grown by 90 times.	Sellest ajast on hiina majanduslik suurus kasvanud 90-kordselt.	Ekonomická velikost Číny od té doby 90krát vzrostla.	Od takrat se je kitajsko gospodarstvo povečalo za 90-krat.
322	Economy and business	For the first time, last year China exported more cars than Germany and surpassed the United States as the biggest market for this industry.	Eelmisel aastal eksportis Hiina esimest korda rohkem autosid kui Saksamaa ja edastas Ühendriike, saades suurimaks turuks selles valdkonnas.	Loni Čína poprvé vyvážela více aut než Německo a vystřídala USA na dominantní pozici v oblasti automobilového průmyslu.	Kitajska je lani prvič izvozila več avtomobilov kot Nemčija in je kot največji trg v tej industriji prehitela Združene države.
323	Economy and business	China's GDP could be larger than the United States within two decades.	Hiina SKP võib ületada Ameerika Ühendriikide oma kahekümne aasta jooksul.	HDP Číny může být během dvou dekád vyšší než Spojených států.	BDP Kitajske bi lahko v dveh desetletjih presegel BDP Združenih držav.
